STATION_NM,SITE_NO,SAMPLE_START_DT,RECORD_NO,occurrence,count,concSum
"JONES ISLAND WASTEWATER INFLUENT AT MILWAUKEE, WI",4.30125E+14,6/15/2017 5:00,01702892_01,0.535087719,61,421660.5085
"JONES ISLAND WASTEWATER INFLUENT AT MILWAUKEE, WI",4.30125E+14,4/20/2017 5:00,01701845_01,0.526315789,60,184247.1812
"JONES ISLAND WASTEWATER INFLUENT AT MILWAUKEE, WI",4.30125E+14,7/20/2017 5:00,01703558_01,0.49122807,56,182977.3099
"JONES ISLAND WASTEWATER INFLUENT AT MILWAUKEE, WI",4.30125E+14,5/18/2017 5:00,01702485_01,0.464912281,53,151603.6239
"MENOMONEE RIVER AT 16TH STREET AT MILWAUKEE, WI",4087142,6/15/2017 6:57,01702905_01,0.114035088,13,2195.93
"MENOMONEE RIVER AT 16TH STREET AT MILWAUKEE, WI",4087142,7/6/2017 7:19,01703561_01,0.105263158,12,1264.4488
"UNDERWOOD CREEK AT WAUWATOSA, WI",4087088,6/15/2017 7:09,01702834_01,0.096491228,11,1958.1067
"UNDERWOOD CREEK AT WAUWATOSA, WI",4087088,5/18/2017 7:30,01702488_01,0.087719298,10,850.293
"MENOMONEE RIVER AT 16TH STREET AT MILWAUKEE, WI",4087142,5/18/2017 12:55,01702486_01,0.087719298,10,1411.6835
"MENOMONEE RIVER AT 16TH STREET AT MILWAUKEE, WI",4087142,6/1/2017 8:54,01702487_01,0.087719298,10,1116.1905
"UNDERWOOD CREEK AT WAUWATOSA, WI",4087088,6/1/2017 8:57,01702489_01,0.087719298,10,1438.1983
"UNDERWOOD CREEK AT WAUWATOSA, WI",4087088,7/6/2017 7:30,01703559_01,0.087719298,10,1593.4246
"MENOMONEE RIVER AT 16TH STREET AT MILWAUKEE, WI",4087142,7/20/2017 9:04,01703563_01,0.087719298,10,1597.6321
"UNDERWOOD CREEK AT WAUWATOSA, WI",4087088,4/6/2017 8:24,01701820_01,0.078947368,9,495.6705
"MENOMONEE RIVER AT 16TH STREET AT MILWAUKEE, WI",4087142,4/6/2017 8:53,01701843_01,0.078947368,9,969.2792
"MENOMONEE RIVER AT 16TH STREET AT MILWAUKEE, WI",4087142,4/20/2017 6:34,01701844_01,0.078947368,9,785.495
"UNDERWOOD CREEK AT WAUWATOSA, WI",4087088,7/20/2017 7:46,01703560_01,0.078947368,9,692.1827
"MENOMONEE RIVER AT 16TH STREET AT MILWAUKEE, WI",4087142,8/3/2017 8:17,01704546_01,0.070175439,8,931.1775
"UNDERWOOD CREEK AT WAUWATOSA, WI",4087088,4/20/2017 6:20,01701830_01,0.052631579,6,327.1706
"MENOMONEE RIVER AT 16TH STREET AT MILWAUKEE, WI",4087142,5/4/2017 5:11,01702061_01,0.052631579,6,439.641
"UNDERWOOD CREEK AT WAUWATOSA, WI",4087088,5/4/2017 5:10,01702060_01,0.035087719,4,242.9095
"MENOMONEE RIVER AT 16TH STREET AT MILWAUKEE, WI",4087142,4/25/2017 12:20,01700035_03,0.026315789,3,115.497
"UNDERWOOD CREEK AT WAUWATOSA, WI",4087088,4/25/2017 9:30,01700032_03,0.01754386,2,102.1887
